#sequence_separation contact_probability stderr
925 2.42993e-05 2.57428e-06
927 2.35005e-05 2.77605e-06
929 2.29691e-05 2.67388e-06
931 2.33413e-05 2.90768e-06
933 2.54547e-05 3.24593e-06
935 2.71312e-05 3.1315e-06
937 2.5687e-05 2.43074e-06
939 2.33895e-05 2.49718e-06
941 2.51304e-05 2.73027e-06
943 2.61092e-05 3.34164e-06
945 2.83633e-05 3.39834e-06
947 2.78158e-05 3.38302e-06
949 3.25066e-05 3.63322e-06
951 3.11867e-05 3.20473e-06
953 2.97186e-05 2.91077e-06
955 3.09534e-05 3.21627e-06
957 2.63552e-05 3.50938e-06
959 2.40809e-05 2.96449e-06
961 2.87719e-05 3.4071e-06
963 2.93791e-05 3.37018e-06
965 2.493e-05 3.40653e-06
967 2.60083e-05 3.25026e-06
969 2.58432e-05 3.21956e-06
971 2.77541e-05 3.50917e-06
973 2.41062e-05 2.92499e-06
975 2.6565e-05 2.94838e-06
977 2.32886e-05 2.75693e-06
979 3.08702e-05 3.60498e-06
981 3.10445e-05 3.87158e-06
983 3.00257e-05 3.43979e-06
985 2.71859e-05 3.31332e-06
987 2.78552e-05 3.09143e-06
989 2.50429e-05 2.81621e-06
991 2.55591e-05 2.70844e-06
993 2.40263e-05 2.96058e-06
995 2.16386e-05 2.61557e-06
997 2.56074e-05 3.1692e-06
999 2.40047e-05 3.21192e-06
1001 2.43898e-05 2.80844e-06
1003 2.7912e-05 3.07311e-06
1005 2.81519e-05 2.88377e-06
1007 2.94984e-05 3.2526e-06
1009 2.7497e-05 3.32023e-06
1011 2.55778e-05 3.01952e-06
1013 2.39203e-05 3.1383e-06
1015 2.45418e-05 2.96139e-06
1017 2.72786e-05 3.29067e-06
1019 2.66479e-05 2.96729e-06
1021 2.49983e-05 2.71451e-06
1023 2.7303e-05 3.42827e-06
1025 2.37202e-05 2.94716e-06
1027 2.18713e-05 2.3862e-06
1029 2.0875e-05 2.81512e-06
1031 2.31826e-05 2.83088e-06
1033 2.0779e-05 2.8295e-06
1035 1.69961e-05 2.13378e-06
1037 1.52654e-05 2.29371e-06
1039 2.03793e-05 2.90344e-06
1041 2.58815e-05 3.1751e-06
1043 2.16642e-05 2.6394e-06
1045 2.63085e-05 2.78582e-06
1047 2.39277e-05 2.7979e-06
1049 2.43726e-05 3.40662e-06
1051 2.29822e-05 3.57642e-06
1053 2.00008e-05 2.75101e-06
1055 1.8444e-05 2.57187e-06
1057 2.20451e-05 2.84806e-06
1059 2.22953e-05 2.86465e-06
1061 2.22716e-05 3.09949e-06
1063 2.46018e-05 2.84983e-06
1065 2.11315e-05 2.55987e-06
1067 2.12669e-05 3.45756e-06
1069 2.37329e-05 3.46018e-06
1071 2.05527e-05 3.14139e-06
1073 2.09111e-05 2.7327e-06
1075 2.56649e-05 3.09865e-06
1077 2.14123e-05 2.79027e-06
1079 2.45349e-05 2.91081e-06
1081 2.6024e-05 2.75675e-06
1083 2.12194e-05 2.83648e-06
1085 2.29689e-05 3.53798e-06
1087 1.91811e-05 2.50875e-06
1089 1.70886e-05 2.14293e-06
1091 2.07473e-05 2.79527e-06
1093 2.10466e-05 2.76512e-06
1095 1.99859e-05 2.545e-06
1097 1.61491e-05 2.11369e-06
1099 1.93862e-05 2.42125e-06
1101 2.19781e-05 2.89212e-06
1103 1.92659e-05 2.53902e-06
1105 2.162e-05 2.76863e-06
1107 1.77942e-05 2.63058e-06
1109 1.92483e-05 2.70924e-06
1111 1.68716e-05 2.34623e-06
1113 1.88087e-05 2.63432e-06
1115 1.95372e-05 2.6782e-06
1117 1.9641e-05 2.47871e-06
1119 2.27422e-05 2.66231e-06
1121 1.72951e-05 2.22451e-06
1123 1.93891e-05 2.60924e-06
1125 2.33651e-05 3.14138e-06
1127 2.03202e-05 2.79758e-06
1129 1.72153e-05 2.52238e-06
1131 1.92387e-05 2.67861e-06
1133 1.9055e-05 2.47139e-06
1135 1.5584e-05 2.24045e-06
1137 1.35878e-05 1.81433e-06
1139 1.6905e-05 2.57135e-06
1141 1.51878e-05 2.44987e-06
1143 1.58803e-05 2.3446e-06
1145 1.7545e-05 2.40717e-06
1147 1.71102e-05 2.65579e-06
1149 1.6056e-05 2.66005e-06
1151 1.36656e-05 2.02569e-06
1153 1.58233e-05 2.07141e-06
1155 1.70104e-05 2.45325e-06
1157 1.94365e-05 2.60841e-06
1159 1.90711e-05 2.5538e-06
1161 1.65491e-05 2.35921e-06
1163 1.90077e-05 2.8213e-06
1165 1.69277e-05 2.69161e-06
1167 1.79915e-05 2.41572e-06
1169 1.87659e-05 2.33559e-06
1171 2.09422e-05 2.8749e-06
1173 1.69285e-05 2.49305e-06
1175 2.18923e-05 2.8913e-06
1177 1.52992e-05 2.3649e-06
1179 1.95458e-05 2.83642e-06
1181 1.51988e-05 2.17026e-06
1183 1.88853e-05 2.15702e-06
1185 1.732e-05 2.29913e-06
1187 1.88507e-05 2.26777e-06
1189 1.91018e-05 2.55691e-06
1191 2.50637e-05 2.71383e-06
1193 2.29476e-05 2.72827e-06
1195 2.22351e-05 2.71778e-06
1197 2.23254e-05 2.85446e-06
1199 2.34011e-05 3.25696e-06
1201 2.34445e-05 3.09012e-06
1203 2.47658e-05 3.56013e-06
1205 2.47886e-05 3.40463e-06
1207 1.99862e-05 2.57591e-06
1209 1.95401e-05 2.51625e-06
1211 2.12904e-05 2.70872e-06
1213 2.10717e-05 2.80484e-06
1215 2.03185e-05 2.93125e-06
1217 1.92248e-05 2.71615e-06
1219 2.02625e-05 3.10759e-06
1221 2.20299e-05 3.56895e-06
1223 1.94919e-05 3.15719e-06
1225 2.4614e-05 3.44113e-06
1227 1.75687e-05 2.52025e-06
1229 1.74647e-05 2.65632e-06
1231 1.88638e-05 2.51829e-06
1233 1.82543e-05 2.90095e-06
1235 1.42982e-05 2.54437e-06
1237 1.57093e-05 2.33665e-06
1239 1.9041e-05 2.83119e-06
1241 1.49689e-05 2.30352e-06
1243 1.17059e-05 1.88648e-06
1245 1.34818e-05 1.95738e-06
1247 1.75541e-05 2.53858e-06
1249 2.02203e-05 3.03052e-06
1251 2.12968e-05 3.71196e-06
1253 2.19782e-05 3.01729e-06
1255 1.23515e-05 2.24128e-06
1257 1.65018e-05 2.40626e-06
1259 1.73353e-05 2.58886e-06
1261 1.62626e-05 2.30983e-06
1263 1.66009e-05 2.51408e-06
1265 1.31159e-05 2.18376e-06
1267 1.68626e-05 2.19074e-06
1269 1.90433e-05 2.80263e-06
1271 1.77707e-05 2.45366e-06
1273 1.93142e-05 2.60879e-06
1275 1.76957e-05 2.53705e-06
1277 1.84431e-05 2.69448e-06
1279 1.89363e-05 2.56057e-06
1281 1.73324e-05 2.89495e-06
1283 1.28509e-05 2.22012e-06
1285 1.67801e-05 2.3457e-06
1287 1.74104e-05 2.45173e-06
1289 1.498e-05 2.26067e-06
1291 1.61015e-05 2.549e-06
1293 1.88578e-05 2.82458e-06
1295 1.64214e-05 2.00347e-06
1297 1.57338e-05 2.41475e-06
1299 1.5488e-05 2.56198e-06
1301 1.80604e-05 2.89063e-06
1303 1.28865e-05 2.03516e-06
1305 1.96264e-05 2.58326e-06
1307 1.52323e-05 2.32716e-06
1309 1.75901e-05 2.57187e-06
1311 1.39235e-05 2.17725e-06
1313 1.94882e-05 2.79597e-06
1315 1.85815e-05 2.61073e-06
1317 1.79972e-05 2.64588e-06
1319 1.61745e-05 2.49138e-06
1321 1.86118e-05 2.87879e-06
1323 2.30179e-05 3.56527e-06
1325 1.90856e-05 2.89387e-06
1327 1.91945e-05 3.32824e-06
1329 1.56759e-05 2.71627e-06
1331 1.79922e-05 2.67881e-06
1333 2.12789e-05 2.83506e-06
1335 1.83621e-05 2.57946e-06
1337 1.90421e-05 3.05965e-06
1339 2.10063e-05 2.83342e-06
1341 1.73317e-05 2.57717e-06
1343 1.71589e-05 2.58608e-06
1345 1.90576e-05 2.58782e-06
1347 1.95328e-05 2.85989e-06
1349 2.22205e-05 3.54756e-06
1351 2.14115e-05 3.6008e-06
1353 2.05093e-05 2.79868e-06
1355 2.33849e-05 3.3699e-06
1357 2.10782e-05 3.73464e-06
1359 1.97422e-05 3.57027e-06
1361 1.71396e-05 2.52679e-06
1363 1.53023e-05 2.16183e-06
1365 1.38473e-05 2.38586e-06
1367 1.45949e-05 2.32038e-06
1369 1.70779e-05 2.95615e-06
1371 1.68525e-05 2.57391e-06
1373 1.61908e-05 2.59139e-06
1375 1.88967e-05 2.56822e-06
1377 1.47103e-05 2.69767e-06
1379 1.34382e-05 2.38587e-06
1381 1.2898e-05 2.22633e-06
1383 1.53125e-05 2.55771e-06
1385 1.87664e-05 3.15446e-06
1387 1.63316e-05 2.60168e-06
1389 1.79684e-05 2.854e-06
1391 1.49598e-05 2.46198e-06
1393 1.34982e-05 2.43222e-06
1395 1.45291e-05 2.83329e-06
1397 1.56162e-05 2.57284e-06
1399 1.48754e-05 2.7884e-06
1401 1.42305e-05 2.29026e-06
1403 1.19322e-05 1.97312e-06
1405 1.27993e-05 2.02971e-06
1407 1.12116e-05 2.10056e-06
1409 1.12769e-05 1.72632e-06
1411 1.72393e-05 2.83434e-06
1413 1.5241e-05 2.69875e-06
1415 1.54002e-05 3.09025e-06
1417 1.35303e-05 2.54611e-06
1419 1.0417e-05 2.08075e-06
1421 1.22154e-05 2.26448e-06
1423 1.38022e-05 2.43428e-06
1425 1.38552e-05 1.83791e-06
1427 1.39894e-05 2.28429e-06
1429 1.20049e-05 2.24321e-06
1431 1.58953e-05 2.87426e-06
1433 1.60309e-05 2.75632e-06
1435 1.9382e-05 3.479e-06
1437 1.31132e-05 2.35387e-06
1439 1.37235e-05 3.13258e-06
1441 1.6173e-05 2.5606e-06
1443 1.27144e-05 2.16725e-06
1445 1.16812e-05 2.37666e-06
1447 1.38358e-05 2.4772e-06
1449 1.32259e-05 2.18242e-06
1451 1.47116e-05 2.24893e-06
1453 1.39117e-05 2.16681e-06
1455 1.38841e-05 2.37276e-06
1457 1.39032e-05 2.16859e-06
1459 1.64614e-05 2.37925e-06
1461 1.50422e-05 2.45364e-06
1463 1.80705e-05 3.08223e-06
1465 1.82339e-05 2.92001e-06
1467 1.8139e-05 2.65345e-06
1469 1.37231e-05 2.39262e-06
1471 1.45641e-05 2.50003e-06
1473 1.6004e-05 2.75775e-06
1475 1.53066e-05 2.58693e-06
1477 1.83743e-05 3.65287e-06
1479 1.35592e-05 2.56205e-06
1481 1.32881e-05 2.31095e-06
1483 1.52719e-05 2.72334e-06
1485 1.3108e-05 2.61866e-06
1487 1.57158e-05 2.40486e-06
1489 1.51542e-05 2.49362e-06
1491 1.09666e-05 1.79258e-06
1493 1.41085e-05 2.0659e-06
1495 1.35086e-05 2.30965e-06
1497 1.38613e-05 2.0706e-06
1499 1.27138e-05 2.13738e-06
1501 1.11069e-05 1.69309e-06
1503 1.11441e-05 2.03886e-06
1505 1.63162e-05 2.59876e-06
1507 1.53288e-05 2.37153e-06
1509 1.1349e-05 1.81061e-06
1511 1.34003e-05 2.24415e-06
1513 1.18578e-05 2.06577e-06
1515 1.55016e-05 2.60427e-06
1517 1.3571e-05 2.06569e-06
1519 1.60846e-05 2.51755e-06
1521 1.13524e-05 2.10126e-06
1523 1.11015e-05 2.3785e-06
1525 1.31961e-05 2.25345e-06
1527 1.70182e-05 2.68615e-06
1529 1.40325e-05 2.21039e-06
1531 1.21942e-05 2.00486e-06
1533 1.27713e-05 2.22301e-06
1535 1.38111e-05 2.1972e-06
1537 9.85817e-06 1.58968e-06
1539 1.17856e-05 2.40849e-06
1541 1.09746e-05 1.97281e-06
1543 1.31954e-05 2.47463e-06
1545 1.12439e-05 2.00847e-06
1547 1.43978e-05 3.07398e-06
1549 1.08808e-05 2.00113e-06
1551 1.31807e-05 2.39348e-06
1553 1.45341e-05 2.74087e-06
1555 1.20867e-05 2.02625e-06
1557 1.32965e-05 2.78085e-06
1559 1.25955e-05 2.18073e-06
1561 1.52004e-05 2.2853e-06
1563 1.56935e-05 2.51795e-06
1565 1.46503e-05 2.34023e-06
